file,sr,duration_sec,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,hf_energy_ratio_mean,hf_energy_ratio_std
ambient_01_DSP.wav,32000,5.06,486.4421250841409,88.709266180119,647.4909510501535,117.29720629758937,892.4980283911672,118.30661349637334,4.271527e-06,4.9978644e-05,4.4451704e-07,6.1177943e-06
ambient_02_DSP.wav,32000,5.06,172.1931736445038,129.8012115996174,610.9459767438399,242.54733585471087,207.61041009463722,267.341533618452,2.2648357e-05,0.00033944863,3.2659345e-06,5.0350718e-05
ambient_03_DSP.wav,32000,5.06,796.557012437145,106.23705459197366,939.1944621518317,107.47032463182626,1402.5039432176657,365.4978124573487,1.05542995e-05,3.60698e-05,1.0364355e-06,3.6819188e-06
ambient_04_DSP.wav,32000,5.06,348.60821023954117,49.03477904387592,486.4909839030903,152.04127921836803,426.7054416403785,86.84880960299888,3.7024286e-06,5.0359737e-05,4.774127e-07,6.946466e-06
ambient_05_DSP.wav,32000,5.06,576.0927694193242,115.24622684523753,692.5523936289237,180.44719275091947,811.2677444794953,212.74759057054428,9.656354e-06,8.598883e-05,1.3496298e-06,1.3640508e-05
drums_01_DSP.wav,32000,5.06,3853.3850082381273,1829.5610091339067,3570.5025993923787,683.1174321614609,7828.864353312303,2987.5956155974923,0.013948289,0.02296788,0.016833724,0.026779432
drums_02_DSP.wav,32000,5.06,4591.592725642467,923.6805038894096,3711.472065616402,183.34259895435414,8872.732649842272,1123.3349918603672,0.07549258,0.06349988,0.04697118,0.043332938
drums_03_DSP.wav,32000,5.06,3295.0313346747207,1426.3706217995375,3690.6444614067973,532.2761736260146,7333.152602523659,2659.1691575500104,0.028133227,0.055695,0.019814389,0.047144666
drums_04_DSP.wav,32000,5.06,5031.987991209303,656.8126735759658,3968.479548407994,243.02101589503835,9933.063880126183,966.0035225404184,0.15486023,0.06438456,0.10056829,0.060950518
drums_05_DSP.wav,32000,5.06,3892.375098057833,1763.91177906393,3697.735281302958,529.3106739983455,7828.470031545741,2915.587797720967,0.06855462,0.07818485,0.046739914,0.061019726
electronic_01_DSP.wav,32000,5.06,4393.961128591325,1745.7082470329105,4491.634570653896,667.0166275454503,9747.683359621451,3248.31398303775,0.027958566,0.03693868,0.041183908,0.06467783
electronic_02_DSP.wav,32000,5.06,769.6979344157377,696.4306959402093,1172.624956583092,1077.0287818424385,1306.3387223974764,2165.52798033663,0.00021835987,0.00078513246,0.00033296182,0.0015468053
electronic_03_DSP.wav,32000,5.06,334.7627368266466,203.00294723787087,668.0003469342527,297.4640079025398,513.2097791798108,428.58033789725806,3.9964172e-05,0.00041535715,3.3851452e-06,3.2297634e-05
electronic_04_DSP.wav,32000,5.06,1657.2640000162316,1155.4248840628904,1917.7568364426595,1047.0746792111468,3367.6557570977916,2619.190964082084,0.005674047,0.0228891,0.0019468912,0.008251118
electronic_05_DSP.wav,32000,5.06,460.9299821531536,540.8114096030112,870.1703937716672,549.4136729182098,757.6399842271294,1042.9657589308897,0.00044398315,0.0023833106,7.178544e-05,0.0004726022
guitar_01_DSP.wav,32000,5.06,778.3457216321598,266.51863871976855,1637.263988064281,405.97616031008204,1102.5729495268138,940.4060523666436,8.087414e-05,0.0001768811,4.206316e-05,9.634734e-05
guitar_02_DSP.wav,32000,5.06,771.7803498974938,291.1328437616182,1562.0855766464072,523.523546159266,951.1533911671925,825.9477661592391,7.869833e-05,0.0001550502,5.6116845e-05,0.00016018435
guitar_03_DSP.wav,32000,5.06,2577.5246611725647,861.7516183275968,3406.3078422170192,615.9410915010353,6156.890772870663,2340.695378480072,0.007369307,0.011177322,0.005451413,0.00818001
guitar_04_DSP.wav,32000,5.06,1851.642829713238,262.1574941121751,1430.271246925891,100.4682945648829,3425.0788643533124,273.08297477297157,0.00010368216,0.0004545556,3.3986505e-06,3.530642e-05
guitar_05_DSP.wav,32000,5.06,1191.0069901449183,348.91946772080917,1324.7509390296818,163.05211381657378,2738.4167981072555,511.9523369564994,2.832118e-05,0.00012197637,1.4268455e-06,9.901468e-06
orchestral_01_DSP.wav,32000,5.06,1641.677931823385,209.29069382563503,1702.905231675417,136.2533423789488,3158.6652208201895,330.5854800508576,0.00069329736,0.0004916826,3.715702e-05,3.7811787e-05
orchestral_02_DSP.wav,32000,5.06,1364.2865670882218,305.1878546694877,1750.4480647485107,229.66644336833548,2646.1455047318614,533.4839698342325,0.0007211191,0.00079472514,6.46178e-05,8.844508e-05
orchestral_03_DSP.wav,32000,5.06,1082.7371363743512,113.15300433563667,1615.0165680741238,168.72035288876756,1838.8702681388013,227.95674692221138,0.00018985462,0.0001935933,2.2447333e-05,2.1797085e-05
orchestral_04_DSP.wav,32000,5.06,2150.7348517854793,550.6383091871442,2545.0785050532295,346.8717200785287,4536.1790220820185,1046.8343363445765,0.004409956,0.0053826217,0.00095533207,0.0013356542
orchestral_05_DSP.wav,32000,5.06,1080.6915195758097,274.38073911832515,1427.6032664143336,285.1083662790037,1866.5220820189274,771.2643954255802,0.00019228968,0.0006251375,3.711153e-05,0.00013013394
piano_01_DSP.wav,32000,5.06,451.3505629204836,62.516070142289486,660.3015577816305,155.5837450689175,636.7310725552051,97.72129065496596,4.9702085e-06,4.7992908e-05,6.1261267e-07,5.903682e-06
piano_02_DSP.wav,32000,5.06,691.4326381449644,128.64033638766034,773.9106350156075,198.22688496731735,1058.2117507886435,250.38651089123803,1.7414122e-05,0.00013458438,1.6153521e-06,1.4053812e-05
piano_03_DSP.wav,32000,5.06,705.9364347877266,71.1670862745282,845.4581862491316,110.93788774192967,1162.7070189274448,155.74362038883964,9.8665005e-06,4.0063576e-05,5.513242e-07,3.9205943e-06
piano_04_DSP.wav,32000,5.06,556.3380798241946,84.20021169510562,684.8456157807565,166.6939039020847,850.4041798107255,120.74884860874141,8.462095e-06,8.0110614e-05,9.3046543e-07,1.02979775e-05
piano_05_DSP.wav,32000,5.06,679.3388218545873,56.435776814401805,666.9241407720007,105.29605584030611,833.842665615142,99.96623069126919,3.8105309e-06,2.0603626e-05,3.366224e-07,2.4140338e-06
