file,sr,duration_sec,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,hf_energy_ratio_mean,hf_energy_ratio_std
ambient_01.wav,32000,5.12034375,686.4150125335954,433.1061548733176,1007.8952055937956,396.2658876856857,1064.6904205607477,954.1361632663886,0.0022641032,0.025308533,0.0008501092,0.009480163
ambient_02.wav,32000,5.12034375,152.32355282612366,546.3895853986935,335.68876355281196,461.05280858434344,242.8446261682243,1074.7429493950965,0.0021380642,0.02761567,0.0015418293,0.019332552
ambient_03.wav,32000,5.12034375,1889.3896932945836,518.7514859484023,1525.6377299337921,367.9691220588164,2832.26246105919,954.5265935817852,0.002968829,0.03384369,0.0011159705,0.013084204
ambient_04.wav,32000,5.12034375,449.4393665777638,403.9067688823108,635.5651914933766,406.50189320238815,589.9045950155763,940.1351681771349,0.0015917799,0.016964652,0.00048976706,0.005081071
ambient_05.wav,32000,5.12034375,424.9001692816426,349.7359138137745,419.8782382414876,294.04309130395603,726.976246105919,701.5315021931086,0.0017886623,0.022580165,0.00047334007,0.0059758583
drums_01.wav,32000,5.12034375,3850.4854265424747,1844.8292281099443,3526.9121350979904,653.3064476420894,7792.591510903427,2953.6623027989904,0.014230764,0.06237163,0.021183927,0.060113765
drums_02.wav,32000,5.12034375,4738.066267405296,1033.3694359360486,3857.9860789445543,215.30020124925926,9172.361760124611,1294.9454926644216,0.08014481,0.08428355,0.054257456,0.07555427
drums_03.wav,32000,5.12034375,3480.913260433202,1576.056919145078,3812.178475905346,590.8731381905947,7691.63746105919,2843.2710214268236,0.033125713,0.081870005,0.027749535,0.07974785
drums_04.wav,32000,5.12034375,4909.078906966976,767.6916889518737,3955.777803949361,272.1743436102132,9746.641355140187,1061.4379628563481,0.119197264,0.068809986,0.087773815,0.08372274
drums_05.wav,32000,5.12034375,3925.998132641536,1815.730499599697,3716.8464313007507,549.0950593476538,7871.057242990654,2993.799641086513,0.06468934,0.09063942,0.050015733,0.08224743
electronic_01.wav,32000,5.12034375,4065.4696770872824,1685.824695864794,4345.557531615627,669.7769693130556,9223.958333333334,3246.6653084607065,0.020916715,0.055275742,0.034145523,0.0724407
electronic_02.wav,32000,5.12034375,1125.977737306144,1471.276524099641,1620.4017710718895,1620.4091364262513,2190.3718847352025,4012.2633528965325,0.0046947966,0.05304044,0.0058242055,0.039993137
electronic_03.wav,32000,5.12034375,508.4728818503106,711.0418838462979,845.5329989372934,711.5876348682344,896.5147975077882,1628.064492398492,0.0029559357,0.026568966,0.0011813033,0.01227147
electronic_04.wav,32000,5.12034375,1914.5730538950454,1617.1869935439183,2242.734674520478,1355.5651588855142,3862.2955607476633,3453.349627540883,0.013056084,0.06114357,0.011782878,0.063525714
electronic_05.wav,32000,5.12034375,1520.7760335319178,2308.4631080677414,1878.0337316062198,1812.4748551586702,3112.4902647975077,4758.744126005097,0.01729951,0.06378269,0.02718613,0.11077225
guitar_01.wav,32000,5.12034375,2564.048856426113,1881.9964568223636,3695.652313025181,1387.3129772786854,5994.304906542056,4909.161508373623,0.006421183,0.058512468,0.019931033,0.045314312
guitar_02.wav,32000,5.12034375,3839.7344264887392,2452.1103414651075,4222.688467964307,1168.1762739828819,8555.14992211838,4473.738716580017,0.006511602,0.05843207,0.080892816,0.16867161
guitar_03.wav,32000,5.12034375,2804.319433842131,1096.3634226463041,3615.43806259141,695.0021447845584,6645.395249221184,2634.902836598099,0.011646815,0.05121628,0.011961382,0.06517914
guitar_04.wav,32000,5.12034375,2143.237081304474,660.1625369935625,1844.3316520435462,599.9401544715706,3896.174065420561,1207.4766404588536,0.0052128374,0.046436463,0.002477581,0.017954146
guitar_05.wav,32000,5.12034375,1366.5270125579748,674.7688798465971,1585.5968405056803,539.8240574264757,2953.903816199377,1138.5420994819117,0.0042235227,0.04823934,0.0022931346,0.027230037
orchestral_01.wav,32000,5.12034375,1895.3584987125025,531.5713523509712,2147.712100997839,419.49967063932826,3473.909657320872,893.2947620186086,0.006706249,0.057005577,0.0026096397,0.023735985
orchestral_02.wav,32000,5.12034375,1543.3896302010708,645.1663420147972,2037.3060015936605,506.3901250699214,2892.4746884735205,1134.6316067230723,0.005806481,0.048502553,0.002309438,0.02185677
orchestral_03.wav,32000,5.12034375,1484.9266515190884,451.8260959187457,2432.698972906498,305.505250759817,2353.777258566978,811.0223693722851,0.0047423923,0.052985016,0.0017465559,0.017405909
orchestral_04.wav,32000,5.12034375,2142.908511967218,659.8149769627788,1843.9485589240774,599.3949934521947,3895.541277258567,1206.641671497193,0.005208863,0.046427112,0.0024763804,0.01796257
orchestral_05.wav,32000,5.12034375,1355.365313025302,878.4709867579332,1884.7193438865286,746.6058807636753,2387.461059190031,2171.108101495288,0.006602844,0.05630037,0.0034073042,0.02270464
piano_01.wav,32000,5.12034375,527.9131855806805,450.69522124914823,634.1496989721653,438.27998572903306,781.1526479750779,964.6462372245229,0.002423796,0.024648605,0.0007382925,0.007710768
piano_02.wav,32000,5.12034375,901.33702203502,525.828198071456,1169.3140595886964,662.3594752226633,1438.4248442367602,1241.964496513352,0.0024848722,0.02908318,0.0007216604,0.0075107547
piano_03.wav,32000,5.12034375,1095.0816284558973,997.6408335196882,1322.6029890620775,1053.3664571649151,2120.3271028037384,2515.607508277544,0.004184628,0.03627246,0.0037328082,0.017108353
piano_04.wav,32000,5.12034375,733.8629256731466,533.6811148752802,827.3790480074737,492.2428142198307,1262.7531152647975,1166.8066525760587,0.0030362457,0.030679971,0.0013462899,0.015281469
piano_05.wav,32000,5.12034375,1006.6801151501854,707.0369257502939,1130.4664643653853,849.3622667320503,1529.5463395638628,1741.6008735777561,0.00249375,0.023926208,0.0013998585,0.012729467
