file,sr,duration_sec,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,hf_energy_ratio_mean,hf_energy_ratio_std
ambient_01.wav,32000,5.06,490.49942876462484,106.58945649330136,655.8868729263692,189.99946085873904,899.0043375394322,150.96246860449676,1.2475064e-05,0.00015332624,1.6471754e-06,2.2137468e-05
ambient_02.wav,32000,5.06,150.9887561833451,190.87794107514213,554.288967972808,328.0525166947859,189.323738170347,450.4603212489433,4.8027323e-05,0.0005819103,7.4552536e-06,9.139894e-05
ambient_03.wav,32000,5.06,798.4891557608851,115.33197727290892,945.5385000390756,156.24268000515036,1402.9475552050474,366.987756427167,1.8260247e-05,0.00013690664,2.0686455e-06,1.7031227e-05
ambient_04.wav,32000,5.06,349.87456277724647,84.93586436810085,488.4398943824119,200.44438958968055,432.2259463722398,176.19823434688348,1.1549592e-05,0.0001751976,1.668405e-06,2.6011196e-05
ambient_05.wav,32000,5.06,456.75579642805116,111.32093039124474,641.4760806394316,89.85063291360322,734.5228706624606,172.36713402889944,1.965868e-06,8.9665455e-06,2.2419476e-07,1.2832863e-06
drums_01.wav,32000,5.06,3836.6575697137923,1832.880356722507,3566.038402250537,690.2813044247769,7805.747239747634,3004.3402775968248,0.013782136,0.02263129,0.016633684,0.026587043
drums_02.wav,32000,5.06,4545.14083172072,935.6322178572992,3716.1030461638984,187.44966715202332,8833.201892744479,1134.8883620403042,0.0735084,0.06366942,0.045554977,0.04313324
drums_03.wav,32000,5.06,3288.216835643815,1421.723471536136,3691.1734771344345,532.4020435051882,7328.913643533123,2649.4638088774923,0.028254323,0.05595527,0.01975781,0.047065478
drums_04.wav,32000,5.06,4871.598202635482,647.3093861491501,4002.030971636451,253.0470137053946,9816.048895899054,987.4389962762648,0.12033611,0.057091486,0.076659724,0.05008233
drums_05.wav,32000,5.06,3842.3419958439886,1770.0434190623162,3687.698171369063,547.5415451787643,7741.0291798107255,2981.1392535488776,0.0661387,0.077039555,0.044695355,0.05948266
electronic_01.wav,32000,5.06,4213.196173806312,1713.169239572571,4476.084616703796,698.9778310417943,9550.719637223974,3343.554769045497,0.024177905,0.03162454,0.03482496,0.052441094
electronic_02.wav,32000,5.06,769.2080451218146,696.732962239155,1170.8700984652041,1079.271605797064,1306.5851735015772,2164.763006030955,0.00021959658,0.0007884107,0.00033283987,0.0015464973
electronic_03.wav,32000,5.06,335.0958965910238,214.96694286710712,660.4923770440506,332.43349502158566,519.7160883280757,457.99914079255404,4.3858796e-05,0.00042015058,4.030007e-06,3.4618257e-05
electronic_04.wav,32000,5.06,1592.1162003477323,1147.046941684227,1895.844854397845,1049.8665948776807,3273.36356466877,2612.857560002409,0.0053708926,0.022639437,0.0018396898,0.008113455
electronic_05.wav,32000,5.06,447.8204998309217,547.1363934755285,845.8100736957796,576.881025498339,738.9097003154574,1065.096632393193,0.00044781613,0.002370016,7.264064e-05,0.00046682378
guitar_01.wav,32000,5.06,780.0488478663999,270.48821632156427,1639.7841841668467,413.76143416074717,1107.551261829653,946.7255564384578,8.638434e-05,0.00021734177,4.2875377e-05,9.7928656e-05
guitar_02.wav,32000,5.06,775.6076155696031,298.0557288638468,1567.6199391225318,534.3085099365916,961.6029179810726,841.4167498860035,9.39036e-05,0.0003160196,5.8301077e-05,0.00016404693
guitar_03.wav,32000,5.06,2577.4719075619264,863.5853770614896,3405.9851185817215,616.4009141414818,6155.313485804417,2343.2379601685097,0.007388285,0.011179207,0.0054501095,0.008173452
