file,sr,duration_sec,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,hf_energy_ratio_mean,hf_energy_ratio_std
ambient_01.wav,32000,5.12,713.6691856092407,556.218771327226,964.5757603084791,325.4730448917756,1061.5751557632398,983.6611645041773,0.0014413133,0.017645583,0.0015002335,0.01910206
ambient_02.wav,32000,5.12,133.4334221380113,472.11741669865023,319.88096577054904,436.6668463377453,209.89096573208724,989.5941483036647,0.00012570391,0.0015576674,0.00012729014,0.0015994166
ambient_03.wav,32000,5.12,1437.3125423194806,632.0396385872351,1491.3122756409095,363.6105589536973,2863.707165109034,1174.495811582365,0.0030308622,0.035770576,0.0024242117,0.030278457
ambient_04.wav,32000,5.12,365.0748067041832,453.5947246143662,455.02628630450477,422.1203277042225,483.4988317757009,956.0212075615455,0.00015364676,0.0019013785,0.00014784197,0.001846041
ambient_05.wav,32000,5.12,461.0127962048003,597.5126591734135,551.974188197888,379.6465504891357,764.3594236760125,1015.849968374501,0.0036267156,0.046808377,0.0030797,0.039161503
drums_01.wav,32000,5.12,3437.1350228422657,1652.5527673699191,3218.600857404634,640.4428520562296,6568.681853582554,2249.39565243366,0.0072402596,0.011180006,0.004147837,0.0069939657
drums_02.wav,32000,5.12,3855.0189492670934,790.7405948146395,3160.7746323991764,233.27248175767843,7255.403037383177,875.6901522178489,0.026288386,0.022049023,0.017710175,0.016805178
drums_03.wav,32000,5.12,2950.017711142161,1327.428014564324,3107.203070687099,561.2826344451772,6326.421339563863,2082.815328866917,0.019762207,0.057014834,0.012279447,0.039222103
drums_04.wav,32000,5.12,3867.1492600694614,594.1538290629255,3143.3550396038413,254.53399700975925,7442.2215732087225,862.2000650209982,0.03887596,0.0580334,0.02961083,0.04282173
drums_05.wav,32000,5.12,3705.2881435288555,1658.160181714161,3207.111835182313,475.7386962254649,6993.477414330218,2221.8719915166466,0.03285381,0.03603917,0.035381738,0.0458787
electronic_01.wav,32000,5.12,3295.4370650502788,1425.035222810875,3643.8975175542305,691.3289425237364,7205.169392523365,2686.6506539819734,0.009718163,0.013369685,0.015283005,0.02222331
electronic_02.wav,32000,5.12,1335.4698076149832,1826.410859628218,1553.7298014581618,1606.4267577229803,2471.5732087227416,4037.4894284236457,0.0030601684,0.016084038,0.009657877,0.03603463
electronic_03.wav,32000,5.12,338.13969376252436,501.12029182209005,588.0625845932234,446.4358504175981,545.3173676012461,1011.4083213674437,0.00019196715,0.002310706,0.00018945492,0.002366505
electronic_04.wav,32000,5.12,1886.6920854701734,1327.5733969548662,2032.607665818078,1040.7753313768533,3681.756230529595,2638.9250584538463,0.004990236,0.010832367,0.0021644686,0.0052367277
electronic_05.wav,32000,5.12,628.5598891630287,880.8580789360643,1069.3995784036542,864.2741110157377,1094.9669003115264,1739.39147214337,0.0018145589,0.011101385,0.0007126162,0.0067989496
guitar_01.wav,32000,5.12,2097.4934671599194,1482.2894542952479,3100.27934087199,1208.4975150430091,4989.8753894081,4025.1904915220075,0.0023335177,0.007392349,0.0074299877,0.017598346
guitar_02.wav,32000,5.12,1514.5438108322235,1185.6887942151234,2463.4219463319105,1231.8888827309313,3186.721183800623,3568.7390715889437,0.0012663548,0.0034578736,0.0020307756,0.005618897
